Serial_Number;Shift;PCB_Mainboard_Supplier;PCB_Batch_ID;LCD_Panel_Supplier;LCD_Batch_ID;Cable_Harness_Supplier;Cable_Batch_ID;Battery_Pack_Supplier;Housing_Case_Supplier;Thermal_Paste_Type;Ambient_Temp_C;Relative_Humidity;Air_Pressure_hPa;Particulate_PM2.5;Particulate_PM10;Screw_Torque_Nm;Screw_Count_OK;Glue_Dispense_Weight_mg;Housing_Gap_Check_mm;Soldering_Station_ID;Soldering_Temp_Set_C;Soldering_Temp_Real_C;Soldering_Time_s;Soldering_Tip_Age_Cycles;Flux_Usage_mg;Smoke_Extractor_Flow_m3h;Boot_Time_s;Standby_Current_mA;Max_Load_Current_A;Battery_Charge_Rate_A;Screen_Brightness_Nits;Dead_Pixel_Count;Touch_Response_ms;WiFi_Signal_dBm;Audio_Output_dB;Probe_Connector_Impedance_Ohm;Internal_QC_Status;Warranty_Claim;Claim_Type;Repair_Cost_USD;Firmware_Version
SN-2025-0641;Afternoon;Intel;PCB-I-2024-Y;Sharp;LCD-S-338;FlexConnect;CBL-2024-699;Panasonic;MoldMaster;Arctic-5;23.4;49.7;1029;23.7;24.8;0.94;12;156.4;0.123;Sold_01;250;248.0;3.72;682;10.7;51.5;14.77;47.8;2.29;1.03;392;0;6.58;-46.5;70.6;50.23;Pass;No;;0.0;v2.1
SN-2025-0400;Afternoon;AMD;PCB-A-2025-X;Samsung;LCD-S-688;FlexConnect;CBL-2024-722;Panasonic;Plast-Pro;Arctic-5;23.4;51.4;1030;24.6;22.6;0.95;12;175.2;0.155;Sold_01;250;249.4;2.85;3035;10.9;52.2;14.91;40.9;2.11;1.05;420;0;9.59;-45.3;73.0;49.57;Pass;No;;0.0;v2.2
SN-2025-0458;Afternoon;AMD;PCB-A-2025-Y;Sharp;LCD-S-738;FlexConnect;CBL-2024-235;Panasonic;Plast-Pro;CoolM-2;24.6;48.6;1018;6.8;29.2;0.86;12;179.0;0.129;Sold_02;250;250.1;3.74;3732;11.6;46.7;13.95;41.1;2.38;1.01;361;0;8.23;-48.8;74.5;50.04;Pass;No;;0.0;v2.1
SN-2023-0582;Afternoon;Nvidia;PCB-N-2023-X;Sharp;LCD-S-534;Cables-X;CBL-2022-091;LG Chem;Plast-Pro;Arctic-5;24.5;41.9;992;21.8;20.5;1.2;12;159.3;0.159;Sold_02;250;254.9;6.07;4046;12.1;51.2;14.29;58.9;2.14;1.07;397;0;6.32;-52.8;72.3;49.5;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
SN-2024-0236;Morning;Intel;PCB-I-2024-Y;LG;LCD-L-554;WireTech;CBL-2024-936;Panasonic;Plast-Pro;CoolM-2;21.7;36.3;1019;19.9;28.4;1.09;12;160.0;0.094;Sold_01;250;252.6;2.58;376;11.7;49.3;12.26;51.9;2.15;1.01;448;0;5.53;-41.5;73.0;49.96;Pass;No;;0.0;v2.1
SN-2023-0066;Afternoon;AMD;PCB-A-2022-A;Sharp;LCD-S-236;WireTech;CBL-2022-870;Panasonic;MoldMaster;CoolM-2;23.2;50.8;1002;18.0;27.8;0.92;12;182.9;0.107;Sold_01;250;249.0;3.72;4409;14.4;49.3;12.99;50.0;2.11;1.04;429;0;9.31;-52.1;74.7;49.53;Pass;No;;0.0;v2.1
SN-2024-0059;Morning;Intel;PCB-I-2023-B;LG;LCD-L-945;Cables-X;CBL-2024-083;LG Chem;Plast-Pro;Arctic-5;21.8;39.1;1009;21.2;19.2;0.94;12;191.0;0.183;Sold_01;250;253.5;6.19;2826;14.8;45.7;13.34;48.4;2.2;1.09;390;0;7.71;-53.7;74.7;50.3;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
SN-2023-0322;Morning;Nvidia;PCB-N-2023-C;LG;LCD-L-592;WireTech;CBL-2022-973;LG Chem;Plast-Pro;CoolM-2;23.2;64.0;1011;17.1;25.6;0.83;12;190.8;0.172;Sold_02;250;254.6;2.87;4561;14.0;51.5;13.64;51.3;2.13;1.1;387;0;7.82;-54.1;74.4;50.32;Pass;No;;0.0;v2.1
SN-2023-0306;Morning;AMD;PCB-A-2022-B;Samsung;LCD-S-430;WireTech;CBL-2022-150;LG Chem;MoldMaster;CoolM-2;22.4;64.2;1022;15.8;33.8;1.16;12;163.8;0.107;Sold_01;250;250.6;4.63;2214;13.9;47.5;12.2;52.6;2.16;1.02;361;0;8.07;-55.3;70.2;50.39;Pass;No;;0.0;v2.1
SN-2025-0099;Afternoon;AMD;PCB-A-2024-B;LG;LCD-L-823;WireTech;CBL-2024-590;LG Chem;MoldMaster;Arctic-5;22.3;48.1;1021;18.6;22.6;1.15;12;172.2;0.198;Sold_01;250;250.8;3.55;766;13.8;47.1;12.28;46.9;2.15;1.09;443;0;6.84;-54.9;71.9;49.64;Pass;No;;0.0;v2.1
SN-2023-0562;Morning;Nvidia;PCB-N-2022-Y;Sharp;LCD-S-161;WireTech;CBL-2023-023;Panasonic;Plast-Pro;CoolM-2;23.0;42.1;1002;21.1;29.9;1.04;12;158.0;0.199;Sold_01;250;252.1;4.25;3492;11.7;47.5;12.35;58.2;2.36;1.05;355;1;6.76;-47.4;70.4;50.15;Pass;No;;0.0;v2.1
SN-2025-0432;Afternoon;Nvidia;PCB-N-2024-C;Sharp;LCD-S-196;FlexConnect;CBL-2025-534;Panasonic;MoldMaster;Arctic-5;21.4;64.4;1023;12.9;31.2;1.07;12;199.5;0.18;Sold_01;250;251.4;4.14;2023;14.1;52.3;12.79;46.2;2.16;1.08;404;2;7.07;-41.7;73.7;49.92;Pass;No;;0.0;v2.2
SN-2023-0433;Afternoon;Nvidia;PCB-N-2023-C;Sharp;LCD-S-833;Cables-X;CBL-2022-064;LG Chem;MoldMaster;Arctic-5;21.3;37.1;1011;8.3;16.4;0.93;12;176.1;0.108;Sold_01;250;249.9;6.0;649;13.2;52.0;14.28;52.7;2.31;1.07;444;0;8.8;-52.4;74.5;49.87;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
SN-2024-0005;Morning;Nvidia;PCB-N-2024-X;Sharp;LCD-S-528;FlexConnect;CBL-2024-212;LG Chem;Plast-Pro;CoolM-2;25.3;45.8;1014;18.3;39.4;1.06;12;162.1;0.193;Sold_01;250;252.0;3.33;255;14.8;45.6;12.15;45.9;2.35;1.02;358;0;5.65;-57.8;74.4;50.45;Pass;No;;0.0;v2.1
SN-2024-0447;Morning;Nvidia;PCB-N-2024-A;Samsung;LCD-S-112;Cables-X;CBL-2023-521;LG Chem;Plast-Pro;CoolM-2;24.0;47.1;1018;7.2;37.6;0.81;12;192.5;0.125;Sold_02;250;250.8;6.0;1172;11.6;54.5;14.6;53.3;2.32;1.09;429;0;7.14;-41.6;74.9;49.89;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
SN-2023-0112;Afternoon;Intel;PCB-I-2023-A;Samsung;LCD-S-226;WireTech;CBL-2022-132;LG Chem;MoldMaster;Arctic-5;25.4;62.0;1018;17.2;31.9;1.13;12;157.2;0.071;Sold_02;250;252.9;4.42;1058;10.8;48.7;13.37;54.6;2.29;1.01;437;0;8.45;-52.3;74.7;50.3;Pass;No;;0.0;v2.2
SN-2024-0257;Afternoon;Intel;PCB-I-2024-X;Sharp;LCD-S-867;FlexConnect;CBL-2023-993;LG Chem;Plast-Pro;Arctic-5;24.6;44.0;995;17.8;35.8;1.19;12;180.6;0.154;Sold_02;250;249.7;2.94;4760;12.1;49.1;12.54;53.9;2.15;1.02;443;1;5.01;-56.6;71.1;50.0;Pass;No;;0.0;v2.2
SN-2023-0030;Afternoon;AMD;PCB-A-2023-Y;Sharp;LCD-S-733;WireTech;CBL-2023-536;LG Chem;Plast-Pro;CoolM-2;23.5;55.0;1011;6.0;26.0;0.99;12;150.9;0.111;Sold_02;250;254.3;3.33;50;11.9;47.0;13.48;58.4;2.19;1.04;437;2;6.94;-59.6;71.3;50.31;Pass;No;;0.0;v2.1
SN-2023-0631;Afternoon;AMD;PCB-A-2023-B;Samsung;LCD-S-380;WireTech;CBL-2022-681;Panasonic;MoldMaster;CoolM-2;22.2;63.2;995;12.5;27.8;1.01;12;154.1;0.108;Sold_01;250;248.4;3.73;3675;10.8;49.9;13.48;58.6;2.36;1.07;389;1;9.89;-49.1;70.2;50.19;Pass;No;;0.0;v2.2
SN-2023-0384;Morning;AMD;PCB-A-2022-X;Samsung;LCD-S-798;FlexConnect;CBL-2023-562;LG Chem;MoldMaster;Arctic-5;22.7;60.0;1023;5.5;26.8;1.11;12;196.2;0.103;Sold_01;250;249.1;3.78;3545;13.6;45.1;13.69;43.0;2.27;1.03;392;2;9.13;-46.5;73.9;49.5;Pass;No;;0.0;v2.2
SN-2024-0222;Morning;Nvidia;PCB-N-2024-X;LG;LCD-L-990;FlexConnect;CBL-2024-810;Panasonic;Plast-Pro;CoolM-2;22.7;52.6;1030;21.6;16.6;1.18;12;152.1;0.198;Sold_02;250;250.2;3.85;2421;13.7;49.7;13.77;57.8;2.4;1.04;402;0;6.11;-46.8;71.0;50.08;Pass;No;;0.0;v2.1
SN-2024-0090;Morning;Intel;PCB-I-2023-X;LG;LCD-L-283;WireTech;CBL-2023-270;Panasonic;Plast-Pro;CoolM-2;21.4;59.3;1016;5.6;34.5;0.9;12;166.3;0.077;Sold_02;250;248.6;2.82;1965;14.8;48.4;13.54;53.0;2.34;1.02;355;0;9.27;-52.7;70.5;50.45;Pass;No;;0.0;v2.2
SN-2023-0307;Morning;Nvidia;PCB-N-2023-A;LG;LCD-L-853;Cables-X;CBL-2022-970;Panasonic;MoldMaster;Arctic-5;24.1;54.4;994;21.9;15.7;1.01;12;196.1;0.063;Sold_02;250;248.8;5.37;2828;12.5;54.4;14.13;48.5;2.2;1.05;418;2;5.45;-50.2;71.3;49.68;Pass;Yes;Burnt LCD Cable;2112.0;v2.2
SN-2023-0057;Afternoon;Intel;PCB-I-2022-C;LG;LCD-L-751;Cables-X;CBL-2023-777;Panasonic;MoldMaster;Arctic-5;22.3;35.5;1006;14.9;32.6;1.09;12;181.1;0.135;Sold_01;250;249.3;6.25;52;11.0;50.9;13.73;41.6;2.34;1.09;432;0;8.75;-41.8;74.9;50.27;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
SN-2024-0445;Afternoon;Nvidia;PCB-N-2024-X;LG;LCD-L-794;Cables-X;CBL-2023-554;LG Chem;MoldMaster;CoolM-2;24.4;59.5;998;7.3;18.8;0.95;12;158.5;0.188;Sold_02;250;249.2;6.32;4956;14.2;49.7;13.81;56.6;2.38;1.09;445;1;7.86;-55.6;70.7;50.11;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
SN-2025-0401;Morning;AMD;PCB-A-2024-C;LG;LCD-L-727;FlexConnect;CBL-2025-179;LG Chem;MoldMaster;Arctic-5;22.5;63.7;1026;12.1;37.7;0.85;12;183.9;0.131;Sold_02;250;253.7;4.19;4489;14.6;53.4;14.9;49.0;2.1;1.1;412;0;9.89;-48.3;72.3;49.95;Pass;No;;0.0;v2.2
SN-2025-0494;Morning;Nvidia;PCB-N-2025-X;LG;LCD-L-649;WireTech;CBL-2025-156;LG Chem;Plast-Pro;Arctic-5;22.0;40.0;1010;5.8;37.3;1.01;12;151.0;0.153;Sold_02;250;250.4;2.66;2597;14.5;47.0;14.07;57.9;2.1;1.02;385;0;5.02;-58.9;70.9;50.33;Pass;No;;0.0;v2.1
SN-2023-0544;Afternoon;Nvidia;PCB-N-2022-X;Samsung;LCD-S-998;FlexConnect;CBL-2023-308;Panasonic;MoldMaster;CoolM-2;23.7;58.4;1021;10.9;33.8;0.93;12;167.6;0.145;Sold_01;250;250.8;2.7;2406;14.8;52.5;13.73;48.7;2.32;1.07;446;2;6.3;-56.5;74.0;50.27;Pass;No;;0.0;v2.1
SN-2024-0623;Afternoon;AMD;PCB-A-2023-C;Sharp;LCD-S-615;Cables-X;CBL-2024-118;Panasonic;Plast-Pro;Arctic-5;23.1;50.4;1022;10.7;19.3;1.12;12;169.6;0.189;Sold_02;250;250.2;5.54;2742;11.6;50.2;13.31;54.4;2.35;1.01;381;0;9.84;-45.3;70.3;50.19;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
SN-2023-0421;Morning;Nvidia;PCB-N-2023-Y;Samsung;LCD-S-420;FlexConnect;CBL-2022-700;LG Chem;Plast-Pro;Arctic-5;24.6;42.6;1003;6.0;29.1;1.02;12;162.2;0.149;Sold_01;250;248.3;3.37;4082;13.5;52.2;13.89;52.3;2.12;1.08;425;0;8.89;-51.5;74.9;49.7;Pass;No;;0.0;v2.1
SN-2024-0587;Afternoon;Nvidia;PCB-N-2023-X;Samsung;LCD-S-340;Cables-X;CBL-2023-963;LG Chem;Plast-Pro;CoolM-2;21.8;58.3;1011;6.8;16.0;1.03;12;185.6;0.168;Sold_02;250;251.6;5.96;4934;13.9;51.0;14.95;54.1;2.33;1.07;412;0;5.28;-46.0;70.3;49.82;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
SN-2025-0590;Morning;Intel;PCB-I-2025-Y;Sharp;LCD-S-781;WireTech;CBL-2024-366;Panasonic;Plast-Pro;CoolM-2;21.8;48.0;1021;23.4;22.8;1.02;12;153.1;0.177;Sold_01;250;252.4;3.46;3073;12.3;52.9;12.56;49.7;2.34;1.08;410;0;6.48;-53.6;70.1;50.33;Pass;No;;0.0;v2.2
SN-2025-0081;Afternoon;Intel;PCB-I-2024-A;Sharp;LCD-S-186;WireTech;CBL-2024-422;LG Chem;MoldMaster;Arctic-5;23.6;60.2;997;9.4;14.9;0.87;12;154.4;0.069;Sold_02;250;249.5;3.55;4213;10.8;47.3;14.83;47.8;2.18;1.03;351;0;9.21;-41.5;74.8;49.58;Pass;No;;0.0;v2.2
SN-2023-0495;Afternoon;Nvidia;PCB-N-2023-X;LG;LCD-L-489;FlexConnect;CBL-2022-079;Panasonic;MoldMaster;CoolM-2;21.6;50.6;999;24.1;31.8;0.94;12;164.4;0.069;Sold_02;250;251.0;4.13;629;11.6;50.1;14.75;53.3;2.35;1.02;354;2;8.4;-43.6;72.3;50.17;Pass;No;;0.0;v2.1
SN-2023-0325;Morning;Intel;PCB-I-2023-Y;Sharp;LCD-S-652;Cables-X;CBL-2023-995;Panasonic;MoldMaster;Arctic-5;22.3;39.4;1028;21.8;19.3;1.05;12;192.5;0.061;Sold_01;250;254.7;5.72;751;12.5;46.1;14.72;55.4;2.22;1.05;415;0;9.85;-41.5;70.8;49.84;Pass;Yes;Burnt LCD Cable;2112.0;v2.2
SN-2025-0111;Morning;Nvidia;PCB-N-2025-Y;LG;LCD-L-147;Cables-X;CBL-2025-971;LG Chem;MoldMaster;CoolM-2;21.4;50.7;991;8.1;37.6;1.17;12;192.5;0.075;Sold_01;250;254.0;6.35;3049;11.5;47.4;12.61;48.2;2.24;1.05;371;0;9.66;-59.7;74.9;50.2;Pass;Yes;Burnt LCD Cable;2112.0;v2.2
SN-2024-0350;Afternoon;Intel;PCB-I-2023-C;LG;LCD-L-389;WireTech;CBL-2024-897;Panasonic;MoldMaster;Arctic-5;25.3;60.4;1013;7.4;38.1;0.93;12;151.7;0.121;Sold_02;250;249.2;3.78;2426;12.2;50.5;12.77;54.1;2.23;1.02;398;0;6.08;-43.2;70.1;49.62;Pass;No;;0.0;v2.1
SN-2024-0513;Afternoon;AMD;PCB-A-2024-X;LG;LCD-L-458;WireTech;CBL-2023-326;Panasonic;Plast-Pro;Arctic-5;25.2;45.7;998;12.6;16.1;0.95;12;189.2;0.117;Sold_01;250;252.2;4.29;4749;11.7;49.7;14.5;55.2;2.39;1.05;393;0;6.25;-54.7;72.6;50.47;Pass;No;;0.0;v2.1
SN-2024-0297;Afternoon;AMD;PCB-A-2023-Y;LG;LCD-L-603;FlexConnect;CBL-2023-114;Panasonic;Plast-Pro;Arctic-5;21.6;44.7;1002;12.1;32.3;0.9;12;171.7;0.122;Sold_02;250;254.5;4.31;4755;12.8;50.2;12.73;56.8;2.38;1.09;397;0;6.31;-47.4;71.9;50.31;Pass;No;;0.0;v2.2
SN-2025-0009;Morning;Nvidia;PCB-N-2024-C;LG;LCD-L-592;WireTech;CBL-2025-973;LG Chem;Plast-Pro;CoolM-2;23.2;64.0;1011;17.1;25.6;0.83;12;190.8;0.172;Sold_02;250;254.6;2.87;4561;14.0;51.5;13.64;51.3;2.13;1.1;387;0;7.82;-54.1;74.4;50.32;Pass;No;;0.0;v2.1
SN-2024-0562;Afternoon;AMD;PCB-A-2023-X;LG;LCD-L-906;WireTech;CBL-2023-527;LG Chem;Plast-Pro;Arctic-5;23.3;45.1;998;16.2;10.8;0.8;12;164.8;0.096;Sold_02;250;249.9;4.0;3399;14.4;54.0;13.85;43.2;2.13;1.01;404;1;9.86;-56.4;72.1;50.42;Pass;No;;0.0;v2.2
SN-2025-0189;Afternoon;Nvidia;PCB-N-2025-Y;LG;LCD-L-109;WireTech;CBL-2025-729;Panasonic;Plast-Pro;CoolM-2;22.0;64.4;1019;16.2;35.0;0.96;12;168.8;0.11;Sold_02;250;253.7;4.62;1983;11.6;46.9;14.08;45.4;2.2;1.04;435;0;6.18;-51.5;74.6;49.64;Pass;No;;0.0;v2.1
SN-2023-0352;Afternoon;Nvidia;PCB-N-2023-X;Sharp;LCD-S-534;Cables-X;CBL-2023-091;LG Chem;Plast-Pro;Arctic-5;24.5;41.9;992;21.8;20.5;1.2;12;159.3;0.159;Sold_02;250;254.9;6.04;4046;12.1;51.2;14.29;58.9;2.14;1.07;397;0;6.32;-52.8;72.3;49.5;Pass;Yes;Burnt LCD Cable;2112.0;v2.1
SN-2024-0084;Afternoon;AMD;PCB-A-2024-Y;Samsung;LCD-S-773;WireTech;CBL-2024-855;LG Chem;Plast-Pro;Arctic-5;23.9;35.7;1010;24.8;10.5;0.95;12;172.6;0.051;Sold_01;250;254.4;3.43;3878;11.5;51.2;13.73;43.6;2.29;1.07;409;0;6.49;-51.2;75.0;50.31;Pass;No;;0.0;v2.1
SN-2025-0375;Afternoon;AMD;PCB-A-2024-B;Sharp;LCD-S-494;WireTech;CBL-2025-779;LG Chem;Plast-Pro;CoolM-2;25.4;36.7;1016;13.2;15.0;1.08;12;162.4;0.158;Sold_02;250;249.3;3.85;4959;11.9;52.4;12.92;56.8;2.16;1.02;363;0;7.66;-53.5;72.0;50.28;Pass;No;;0.0;v2.2
SN-2025-0493;Afternoon;AMD;PCB-A-2025-Y;LG;LCD-L-246;FlexConnect;CBL-2024-458;LG Chem;MoldMaster;Arctic-5;21.8;64.5;1028;22.8;13.1;1.05;12;177.5;0.06;Sold_01;250;250.9;2.82;545;14.9;54.2;13.85;52.1;2.13;1.01;351;1;9.56;-42.2;70.9;50.14;Pass;No;;0.0;v2.2
SN-2024-0115;Afternoon;AMD;PCB-A-2024-X;LG;LCD-L-296;FlexConnect;CBL-2024-366;Panasonic;MoldMaster;Arctic-5;23.5;57.5;1022;21.4;18.5;1.07;12;160.1;0.079;Sold_01;250;251.0;3.25;748;14.3;50.2;14.97;58.4;2.14;1.05;436;0;5.4;-58.2;72.6;49.8;Rework;No;;0.0;v2.2
SN-2023-0071;Afternoon;Nvidia;PCB-N-2023-B;Samsung;LCD-S-778;Cables-X;CBL-2022-645;LG Chem;Plast-Pro;Arctic-5;22.6;38.1;994;14.0;28.0;0.93;12;182.2;0.101;Sold_02;250;248.4;5.69;4496;12.8;53.7;12.2;42.0;2.39;1.02;353;0;5.34;-56.6;72.1;50.01;Pass;Yes;Burnt LCD Cable;2112.0;v2.2
SN-2023-0451;Afternoon;AMD;PCB-A-2023-X;Samsung;LCD-S-716;WireTech;CBL-2022-517;LG Chem;Plast-Pro;Arctic-5;24.5;54.2;1023;16.4;14.3;0.96;12;157.9;0.197;Sold_02;250;248.0;3.41;2678;10.8;46.7;14.14;40.7;2.31;1.01;379;0;9.94;-41.8;73.4;49.86;Pass;No;;0.0;v2.2
